time,temperature,feels_like,app_temp,dew_point,humidity,wind_direction,wind_speed,wind_gust,pressure_relative,pressure_absolute,rainfall
2025-01-10,24.64375,25.55208333333333,28.785416666666663,21.854166666666668,85.35416666666667,106.85416666666669,1.5291666666666668,3.797916666666667,29.808541666666667,27.93958333333333,12.6
2025-01-11,24.772916666666664,25.897916666666664,29.241666666666664,22.35833333333333,87.08333333333333,168.91666666666666,1.3708333333333331,3.5500000000000003,29.852083333333336,27.98229166666667,66.8
2025-01-12,26.816666666666663,29.3375,31.56458333333333,22.829166666666666,80.10416666666667,190.875,1.31875,3.0187500000000003,29.796041666666667,27.926875,25.4
2025-01-13,21.16875,21.16875,24.6,20.32708333333333,95.10416666666669,159.375,1.3375,3.5041666666666664,29.839583333333334,27.970625,91.4
2025-01-14,25.14583333333333,26.12708333333333,29.06458333333333,21.2125,80.0,229.5625,1.225,3.1333333333333333,29.69666666666667,27.827916666666667,4.8
2025-01-15,29.325,31.36458333333333,32.65833333333333,21.175,62.91666666666666,269.5,3.016666666666667,7.022916666666667,29.606875,27.73770833333333,0.0
2025-01-16,19.822916666666668,19.822916666666668,22.379166666666663,18.697916666666668,93.5,201.1458333333333,1.7666666666666666,4.233333333333333,29.880416666666665,28.011875,40.6
2025-01-17,19.55757575757576,19.55757575757576,22.445454545454545,18.60909090909091,94.33333333333331,236.7575757575757,0.6,2.0,29.955454545454543,28.08636363636364,5.4
2025-01-18,24.45,24.90833333333333,27.76458333333333,19.68958333333333,76.16666666666667,185.66666666666663,0.775,2.0,29.886458333333334,28.017291666666665,0.0
2025-01-19,26.69375,27.616666666666664,30.25,20.48958333333333,70.77083333333333,157.0625,1.1729166666666666,2.9125,29.839791666666667,27.97125,0.0
2025-01-20,24.70833333333333,24.88958333333333,29.21875,22.477083333333336,87.60416666666667,222.85416666666663,1.4541666666666666,3.5187500000000003,29.84125,27.972291666666667,14.0
2025-01-21,25.022916666666664,25.260416666666668,26.93958333333333,17.920833333333334,65.95833333333333,131.70833333333334,2.7125,6.172916666666667,29.935,28.06520833333333,0.0
2025-01-22,24.51875,24.87291666666667,27.05625,18.85833333333333,71.79166666666667,170.52083333333334,2.075,4.927083333333333,29.926458333333333,28.057291666666668,0.0
2025-01-23,25.425,25.94090909090909,28.047727272727272,19.025,69.0,174.04545454545453,2.002272727272727,4.563636363636364,29.85545454545455,27.98659090909091,0.0
2025-01-24,,,,,,,,,,,0.0
2025-01-25,,,,,,,,,,,0.0
2025-01-26,,,,,,,,,,,0.0
2025-01-27,23.1,23.1,25.225,18.25,74.5,168.25,2.375,6.6,29.895,28.025,0.0
2025-01-28,26.0,26.26875,27.735416666666666,17.716666666666665,61.79166666666666,162.20833333333334,2.9625,6.3,29.88875,28.019375,0.0
2025-01-29,25.77083333333333,26.01875,27.96875,18.1875,64.64583333333333,144.3125,2.152083333333333,5.04375,29.89833333333333,28.02895833333333,0.0
2025-01-30,26.65111111111111,27.26,29.520000000000003,19.09555555555556,64.66666666666667,158.06666666666666,1.2866666666666666,3.2422222222222223,29.82333333333333,27.954,0.0
2025-01-31,28.54,30.7,32.42,20.79,63.2,259.8,0.63,1.89,29.726,27.857,0.0
2025-02-01,30.44,33.4425,34.5125,21.630000000000003,60.25,204.725,1.3625,3.4575000000000005,29.771,27.902,0.3
2025-02-02,29.02916666666667,31.38125,33.18541666666667,21.9,66.52083333333333,132.0,1.4791666666666667,3.2916666666666665,29.809791666666666,27.94020833333333,0.0
2025-02-03,29.579166666666666,31.23958333333333,32.6625,20.49375,60.1875,146.4375,2.725,5.508333333333333,29.855416666666667,27.98625,0.0
2025-02-04,27.675,28.825,31.05625,20.36458333333333,65.58333333333333,124.58333333333331,1.54375,3.516666666666667,29.898541666666663,28.02895833333333,0.0
2025-02-05,29.7,31.38958333333333,33.081250000000004,20.129166666666663,58.208333333333336,131.75,1.1166666666666667,3.04375,29.786666666666665,27.9175,0.0
2025-02-06,27.9875,29.05625,30.67708333333333,19.75625,61.85416666666666,135.97916666666666,2.858333333333333,6.052083333333333,29.829375,27.959375,0.0
2025-02-07,26.70208333333333,26.8,27.83333333333333,16.45625,54.875,132.64583333333334,3.3229166666666665,6.739583333333333,29.922083333333333,28.05270833333333,0.0
